# z u u_p F_integral F_diff k du_dz
7.449999999999999956e-01 5.246300370682359505e-07 5.297540195825465484e-07 1.951595861821710287e+03 1.951142315593910098e+03 8.558146240990755871e+01 -5.844356445843307464e-06
7.500000000000000000e-01 4.957189080297240311e-07 5.003634452879853438e-07 1.960178450224342896e+03 1.959731431255670486e+03 8.332470092773426984e+01 -5.715291239282077458e-06
7.550000000000000044e-01 4.674771246754151759e-07 4.715602662583988693e-07 1.965977327529703189e+03 1.965539502042529875e+03 8.106359492042922454e+01 -5.576679429778723265e-06
7.600000000000000089e-01 4.399521137319367942e-07 4.433852122800748827e-07 1.968776032750623926e+03 1.968350274973686510e+03 7.879964496101584359e+01 -5.428685598939554211e-06
7.650000000000000133e-01 4.131902686860196359e-07 4.158783936973732200e-07 1.968363652029582681e+03 1.967953019338594686e+03 7.653439513885200540e+01 -5.271563289886490054e-06
7.700000000000000178e-01 3.872364808330718937e-07 3.890790898080905195e-07 1.964539819608646212e+03 1.964147517277060160e+03 7.426943221078207102e+01 -5.105664231023458196e-06
7.750000000000000222e-01 3.621336263757850539e-07 3.630255231719760651e-07 1.957120327416061627e+03 1.956749662189136870e+03 7.200638461697433002e+01 -4.931446407115394911e-06
7.800000000000000266e-01 3.379220167619179467e-07 3.377546201266569364e-07 1.945943232835186336e+03 1.945597554924821907e+03 6.974692135413093297e+01 -4.749480387754584506e-06
7.850000000000000311e-01 3.146388224982392110e-07 3.133017580437367092e-07 1.930875306154448026e+03 1.930557939744631994e+03 6.749275069848999919e+01 -4.560453300766122034e-06
7.900000000000000355e-01 2.923174837542567285e-07 2.897005001383731227e-07 1.911818611210030440e+03 1.911532774152418597e+03 6.524561877076871497e+01 -4.365169852756251824e-06
7.950000000000000400e-01 2.709871239706766885e-07 2.669823189724304744e-07 1.888716968305315504e+03 1.888465682350534053e+03 6.300730793491342752e+01 -4.164549857033177026e-06
8.000000000000000444e-01 2.506719851839249540e-07 2.451763101681700644e-07 1.861562011504855263e+03 1.861348005126332509e+03 6.077963502223359171e+01 -3.959621834032937265e-06
8.050000000000000488e-01 2.313909056303473180e-07 2.243088982797897006e-07 1.830398526863565394e+03 1.830224133445894722e+03 5.856444937219293934e+01 -3.751512401103522655e-06
8.100000000000000533e-01 2.131568611728897274e-07 2.044035372566078867e-07 1.795328747855341589e+03 1.795195802688439926e+03 5.636363068083890937e+01 -3.541431362788318038e-06
